School Name,School State,School Ownership,Mean Earnings (6 Yrs after Entry),Std. Deviation Earning (6 Yrs after Entry),Mean Earnings (10 Yrs after Entry),Std. Deviation Earning (10 Yrs after Entry),150% Completion Rate at 4Yr (%),Retention Rate 4Yr (%)
Louisiana Tech University,LA,Public,38800.0,25400.0,49200.0,44300.0,51.9,80.60000000000002
Bates College,ME,Private NonProfit,46000.0,30600.0,74300.0,66300.0,87.68,95.35
McNeese State University,LA,Public,36600.0,25200.0,45000.0,39200.0,42.1,66.22
Bowdoin College,ME,Private NonProfit,57100.0,50000.0,83300.0,67500.0,94.48,93.6
University of Maryland-University College,MD,Public,47700.0,34800.0,55900.0,39800.0,10.27,42.95
University of Southern Maine,ME,Public,35600.0,22000.0,44400.0,32800.0,33.81,62.53999999999999
Frostburg State University,MD,Public,33800.0,20100.0,47200.0,27700.0,47.08,76.69
University of Maine at Machias,ME,Public,25400.0,15000.0,29400.0,19800.0,28.57,63.83
Clark University,MA,Private NonProfit,38300.0,21900.0,54700.0,35400.0,75.48,87.74
Eastern Nazarene College,MA,Private NonProfit,39100.0,28700.0,46100.0,28800.0,46.02,76.79
Harvard University,MA,Private NonProfit,91300.0,79200.0,139100.0,153200.0,97.23,97.35
College of the Holy Cross,MA,Private NonProfit,55500.0,34500.0,88600.0,73300.0,91.61,95.53
Lasell College,MA,Private NonProfit,36400.0,17200.0,45700.0,27700.0,50.53,79.55
University of Massachusetts-Dartmouth,MA,Public,41100.0,22900.0,51500.0,31600.0,48.29,73.42
Montserrat College of Art,MA,Private NonProfit,25000.0,14700.0,28800.0,21300.0,55.56,79.01
Western New England University,MA,Private NonProfit,46800.0,24700.0,61300.0,38400.0,61.68,78.03
Alma College,MI,Private NonProfit,36500.0,22800.0,46500.0,30400.0,66.85,79.75999999999998
Great Lakes Christian College,MI,Private NonProfit,20700.0,14700.0,30000.0,17400.0,24.53,37.78
Rochester College,MI,Private NonProfit,35200.0,23700.0,39000.0,28100.0,25.95,46.1
Hope College,MI,Private NonProfit,39200.0,23300.0,50700.0,33700.0,79.47999999999998,90.84
Cleary University,MI,Private NonProfit,46700.0,30800.0,59500.0,42000.0,17.65,70.21
Oakland University,MI,Public,39700.0,26700.0,48100.0,34200.0,46.83,74.96000000000002
Bemidji State University,MN,Public,37000.0,21300.0,44000.0,28200.0,45.78,71.57
Kuyper College,MI,Private NonProfit,27000.0,16500.0,35200.0,32400.0,48.08,69.77
Saginaw Valley State University,MI,Public,35400.0,21600.0,42700.0,27900.0,38.0,67.17999999999999
Siena Heights University,MI,Private NonProfit,43100.0,27500.0,45300.0,28900.0,46.67,72.37
Minneapolis College of Art and Design,MN,Private NonProfit,32700.0,22100.0,43200.0,34400.0,64.66,83.45
Saint Mary's University of Minnesota,MN,Private NonProfit,42600.0,24400.0,50400.0,30300.0,61.1,70.04
University of Mississippi,MS,Public,41300.0,40000.0,56600.0,64000.0,59.8,85.3
Baptist Bible College,MO,Private NonProfit,23900.0,14200.0,33300.0,25700.0,26.67,58.62000000000001
Culver-Stockton College,MO,Private NonProfit,33700.0,16900.0,40100.0,23300.0,46.7,64.37
Missouri Baptist University,MO,Private NonProfit,31500.0,18900.0,39200.0,25900.0,36.19,61.02
College of the Ozarks,MO,Private NonProfit,28800.0,16600.0,35300.0,22400.0,68.89,74.42
Park University,MO,Private NonProfit,42200.0,27300.0,50800.0,32700.0,38.17,53.90000000000001
Southeast Missouri State University,MO,Public,31800.0,18600.0,41400.0,28500.0,48.87000000000001,74.03999999999998
Washington University in St Louis,MO,Private NonProfit,63400.0,47300.0,87900.0,73000.0,94.01,95.64
Webster University,MO,Private NonProfit,38200.0,27500.0,47900.0,33100.0,59.31999999999999,74.76
Missouri Southern State University,MO,Public,31300.0,23100.0,38100.0,28500.0,29.86,61.48
Missouri Western State University,MO,Public,31300.0,25300.0,38200.0,26400.0,30.930000000000003,65.89
Missouri University of Science and Technology,MO,Public,57200.0,30900.0,72400.0,49700.0,63.97000000000001,82.89999999999998
Montana State University,MT,Public,38000.0,25200.0,48900.0,36000.0,53.48,75.94999999999997
Colby-Sawyer College,NH,Private NonProfit,35700.0,21100.0,47700.0,30200.0,59.03,75.28
Nebraska Methodist College of Nursing & Allied Health,NE,Private NonProfit,47600.0,25300.0,50600.0,28900.0,58.97,75.0
Bellevue University,NE,Private NonProfit,52200.0,40000.0,60500.0,40900.0,12.5,54.72
University of Nebraska at Omaha,NE,Public,38600.0,24000.0,49300.0,34300.0,44.92,77.4
The Art Institute of Las Vegas,NV,Private ForProfit,27900.0,19200.0,31400.0,20300.0,24.23,48.15
University of New Hampshire-Main Campus,NH,Public,44900.0,25500.0,57700.0,48300.0,77.75999999999998,86.2
Princeton University,NJ,Private NonProfit,73600.0,69600.0,116300.0,131400.0,97.48,97.95
Alfred University,NY,Private NonProfit,34900.0,21700.0,47300.0,35300.0,60.84,75.88000000000002
Rutgers University-Camden,NJ,Public,48200.0,35700.0,68100.0,55600.0,59.43000000000001,87.2
